"Book_name","Book_Price","Book_Author","Book_PubDate","Book_PubLocation","Book_Rank","Book_Rating","Book_NumOfRati"
"Wonky Donkey","US$12.22","Craig Smith","24 Oct 2018","Auckland, New Zealand","1","4.15","(1,011 ratings by Goodreads)"
"Milkman","US$10.32","Anna Burns","01 Nov 2018","London, United Kingdom","2","3.63","(552 ratings by Goodreads)"
"Kingdom of Ash","US$10.09","Sarah J. Maas","23 Oct 2018","London, United Kingdom","3","4.59","(2,361 ratings by Goodreads)"
"The Choice","US$13.63","Edith Eger","16 Aug 2018","London, United Kingdom","4","4.57","(2,782 ratings by Goodreads)"
"This is Going to Hurt","US$7.22","Adam Kay","19 Apr 2018","London, United Kingdom","6","4.31","(31,937 ratings by Goodreads)"
"Brief Answers to the Big Questions","US$14.51","Stephen Hawking","16 Oct 2018","London, United Kingdom","6","5","(1 rating by Goodreads)"
"Ottolenghi SIMPLE","US$28.31","Yotam Ottolenghi","06 Sep 2018","London, United Kingdom","7","4.56","(44 ratings by Goodreads)"
"The Power of Now","US$8.25","Eckhart Tolle","01 Feb 2001","London, United Kingdom","9","4.12","(134,244 ratings by Goodreads)"
"The Subtle Art of Not Giving a F*ck","US$14.89","Mark Manson","15 May 2018","New York, United States","10","4","(168,033 ratings by Goodreads)"
"The Wonky Donkey","US$8.02","Craig Smith","01 Nov 2018","London, United Kingdom","15","4.15","(1,011 ratings by Goodreads)"
"Sapiens","US$11.28","Yuval Noah Harari","15 Sep 2016","London, United Kingdom","11","4.45","(141,232 ratings by Goodreads)"
"Eleanor Oliphant is Completely Fine","US$9.15","Gail Honeyman","05 Apr 2018","London, United Kingdom","12","4.34","(89,364 ratings by Goodreads)"
"The Barefoot Investor","US$16.22","Scott Pape","01 Jul 2018","Milton, QLD, Australia","13","4.52","(5,685 ratings by Goodreads)"
"The Dry","US$5.63","Jane Harper","01 Jun 2017","London, United Kingdom","14","4.04","(70,978 ratings by Goodreads)"
"The Haunting of Hill House","","Shirley Jackson","01 Oct 2009","London, United Kingdom","443","3.89","(79,788 ratings by Goodreads)"
"Dare to Lead","US$12.82","Brene Brown","11 Oct 2018","London, United Kingdom","15","4.66","(60 ratings by Goodreads)"
"Have You Filled A Bucket Today?","US$9.32","Carol McCloud","01 Oct 2015","MI, United States","16","4.39","(3,485 ratings by Goodreads)"
"The Underground Railroad","US$5.56","Colson Whitehead","29 Jun 2017","London, United Kingdom","17","4.02","(114,281 ratings by Goodreads)"
"The Tattooist of Auschwitz","US$7.42","Heather Morris","04 Oct 2018","London, United Kingdom","18","4.36","(40,551 ratings by Goodreads)"
"The Noma Guide to Fermentation (Foundations of Flavor)","US$26.73","René Redzepi","16 Oct 2018","New York, United States","19","4.4","(5 ratings by Goodreads)"
"A Gentleman in Moscow","US$8.20","Amor Towles","10 Jan 2018","London, United Kingdom","20","4.36","(85,531 ratings by Goodreads)"
"Milk and Honey","US$9.34","Rupi Kaur","22 Sep 2017","Kansas City, United States","21","4.14","(190,803 ratings by Goodreads)"
"21 Lessons for the 21st Century","US$14.42","Yuval Noah Harari","30 Aug 2018","London, United Kingdom","23","4.21","(4,224 ratings by Goodreads)"
"Killing Commendatore","US$23.08","Haruki Murakami","09 Oct 2018","London, United Kingdom","24","3.9","(453 ratings by Goodreads)"
"Six of Crows: Collector's Edition","US$13.90","Leigh Bardugo","11 Oct 2018","London, United Kingdom","29","4.45","(156,854 ratings by Goodreads)"
"Look Inside Your Body","US$9.94","Louie Stowell","01 Aug 2018","London, United Kingdom","26","4.63","(150 ratings by Goodreads)"
"Call Me By Your Name","US$8.10","Andre Aciman","03 Apr 2018","London, United Kingdom","27","4.28","(79,646 ratings by Goodreads)"
"Mothering Our Boys","US$19.67","Maggie Dent","25 Sep 2018","Murwillumbah, Australia","28","",""
"The Travelling Cat Chronicles","US$8.89","Hiro Arikawa","30 Jan 2018","London, United Kingdom","30","4.28","(4,215 ratings by Goodreads)"
"The Wonderful Things You Will Be","US$12.84","Emily Martin","22 Sep 2015","New York, United States","31","4.35","(1,890 ratings by Goodreads)"
"Create This Book","US$13.11","Moriah Elizabeth","17 May 2015","","32","4.32","(34 ratings by Goodreads)"
"The Etymologicon","","Mark Forsyth","03 Nov 2016","Duxford, United Kingdom","61","4.2","(6,530 ratings by Goodreads)"
"Factfulness","US$10.89","Hans Rosling","05 Apr 2018","London, United Kingdom","34","4.35","(17,871 ratings by Goodreads)"
"Any Ordinary Day: Blindsides, Resilience and What Happens After the Worst Day of Your Life","US$20.10","Leigh Sales","19 Oct 2018","Hawthorn, Australia","35","4.54","(200 ratings by Goodreads)"
"The 13-Storey Treehouse","US$4.99","Andy Griffiths","23 Mar 2015","London, United Kingdom","36","4.02","(5,136 ratings by Goodreads)"
"Start With Why","US$9.06","Simon Sinek","03 Apr 2018","London, United Kingdom","38","4.06","(58,187 ratings by Goodreads)"
"The Truth Pixie","US$10.20","Matt Haig","18 Oct 2018","Edinburgh, United Kingdom","37","4.11","(9 ratings by Goodreads)"
"Homo Deus","US$11.36","Yuval Noah Harari","22 Jun 2017","London, United Kingdom","39","4.3","(39,436 ratings by Goodreads)"
"Dear Zoo","US$5.18","Rod Campbell","08 May 2007","New York, NY, United States","45","4.26","(19,083 ratings by Goodreads)"
"How to Win Friends and Influence People","US$6.75","Dale Carnegie","17 May 2011","New York, United States","44","4.16","(381,485 ratings by Goodreads)"
"The Mamba Mentality","US$34.45","Kobe Bryant","23 Oct 2018","New York","42","4.33","(3 ratings by Goodreads)"
"Man's Search For Meaning","US$5.24","Viktor E. Frankl","07 Feb 2008","London, United Kingdom","41","4.34","(220,166 ratings by Goodreads)"
"Harry Potter and the Philosopher's Stone","US$30.60","J. K. Rowling","06 Oct 2015","London, United Kingdom","43","4.45","(5,100,204 ratings by Goodreads)"
"The Man Who Mistook His Wife for a Hat","US$6.97","Oliver Sacks","02 Sep 2011","London, United Kingdom","157","4.04","(113,443 ratings by Goodreads)"
"Kingdom of Ash","US$21.97","Sarah J. Maas","23 Oct 2018","New York, United States","46","4.59","(2,361 ratings by Goodreads)"
"The Very Hungry Caterpillar","US$7.20","Eric Carle","29 Sep 1994","London, United Kingdom","50","4.28","(309,805 ratings by Goodreads)"
"Always and Forever, Lara Jean","US$6.19","Jenny Han","04 May 2017","London, United Kingdom","47","4.18","(58,253 ratings by Goodreads)"
"Thinking, Fast and Slow","US$10.93","Daniel Kahneman","05 Oct 2012","London, United Kingdom","48","4.11","(181,854 ratings by Goodreads)"
"The 104-Storey Treehouse","US$6.21","Andy Griffiths","23 Aug 2018","London, United Kingdom","49","4.55","(220 ratings by Goodreads)"
"Gmorning, Gnight!","US$12.07","Lin-Manuel Miranda","16 Oct 2018","London, United Kingdom","55","4.82","(29 ratings by Goodreads)"
"The Body Keeps the Score","US$9.75","Bessel A. van der Kolk","24 Sep 2015","London, United Kingdom","50","4.61","(9,644 ratings by Goodreads)"
"Stories for Boys Who Dare to be Different","US$18.16","Ben Brooks","19 Apr 2018","London, United Kingdom","54","4.23","(121 ratings by Goodreads)"
"The Sun and Her Flowers","US$10.62","Rupi Kaur","18 Oct 2017","London, United Kingdom","52","4.18","(40,223 ratings by Goodreads)"
"5 Ingredients - Quick & Easy Food","US$25.41","Jamie Oliver","05 Sep 2017","London, United Kingdom","53","4.15","(1,546 ratings by Goodreads)"
"Goodnight Stories for Rebel Girls 2","US$20.53","Elena Favilli","28 Feb 2018","Venice, United States","51","4.45","(1,828 ratings by Goodreads)"
